iter	Passed	Remaining
0	17	1686
1	32	1599
2	47	1533
3	62	1504
4	76	1456
5	91	1429
6	105	1396
7	119	1379
8	135	1366
9	148	1336
10	162	1315
11	175	1286
12	189	1269
13	203	1247
14	216	1228
15	230	1212
16	244	1193
17	260	1186
18	273	1167
19	287	1148
20	300	1130
21	314	1113
22	326	1094
23	339	1076
24	354	1062
25	369	1052
26	384	1040
27	397	1023
28	411	1006
29	424	990
30	438	975
31	451	959
32	467	948
33	484	939
34	497	923
35	511	908
36	523	892
37	537	876
38	552	864
39	566	849
40	582	837
41	595	822
42	611	810
43	625	795
44	640	783
45	654	768
46	672	758
47	686	743
48	700	729
49	714	714
50	728	699
51	741	684
52	754	668
53	768	654
54	782	640
55	796	625
56	809	610
57	822	595
58	836	581
59	853	568
60	867	554
61	881	540
62	897	526
63	910	512
64	924	497
65	938	483
66	952	468
67	965	454
68	978	439
69	995	426
70	1009	412
71	1025	398
72	1039	384
73	1054	370
74	1067	355
75	1082	341
76	1099	328
77	1114	314
78	1126	299
79	1138	284
80	1150	269
81	1164	255
82	1178	241
83	1194	227
84	1209	213
85	1224	199
86	1238	185
87	1255	171
88	1270	156
89	1285	142
90	1300	128
91	1314	114
92	1328	99
93	1342	85
94	1357	71
95	1371	57
96	1387	42
97	1400	28
98	1414	14
99	1428	0
