iter	Passed	Remaining
0	7	1495
1	13	1379
2	20	1353
3	26	1317
4	33	1301
5	39	1286
6	45	1261
7	52	1250
8	58	1236
9	64	1222
10	70	1208
11	76	1196
12	82	1180
13	88	1173
14	94	1161
15	100	1151
16	105	1139
17	111	1130
18	117	1119
19	123	1108
20	129	1101
21	134	1090
22	140	1083
23	146	1075
24	152	1065
25	157	1056
26	163	1050
27	170	1047
28	176	1042
29	182	1031
30	187	1021
31	193	1013
32	198	1004
33	204	997
34	209	989
35	215	982
36	221	976
37	227	969
38	233	964
39	239	959
40	245	953
41	251	946
42	257	939
43	263	932
44	268	924
45	274	917
46	279	908
47	285	904
48	290	896
49	296	890
50	302	883
51	308	878
52	314	871
53	320	865
54	325	858
55	331	851
56	337	845
57	343	841
58	349	834
59	354	828
60	359	820
61	365	814
62	371	807
63	377	802
64	383	795
65	389	790
66	394	784
67	400	777
68	406	771
69	412	765
70	418	759
71	423	753
72	429	746
73	434	739
74	439	733
75	446	727
76	452	722
77	458	716
78	463	710
79	469	704
80	474	697
81	480	691
82	486	685
83	492	679
84	497	673
85	503	667
86	509	661
87	514	655
88	520	649
89	526	644
90	532	638
91	538	631
92	543	625
93	549	619
94	555	614
95	561	608
96	566	601
97	572	596
98	578	590
99	584	584
100	590	578
101	595	572
102	601	566
103	607	560
104	613	554
105	618	548
106	624	542
107	630	536
108	636	530
109	642	525
110	648	519
111	653	513
112	659	507
113	664	501
114	670	495
115	675	489
116	682	483
117	687	478
118	693	471
119	699	466
120	705	460
121	711	454
122	717	449
123	723	443
124	729	437
125	735	432
126	741	426
127	747	420
128	753	414
129	759	409
130	765	403
131	771	397
132	777	391
133	783	385
134	789	380
135	794	374
136	800	367
137	806	362
138	811	356
139	816	350
140	822	344
141	828	338
142	834	332
143	840	326
144	845	320
145	850	314
146	856	308
147	861	302
148	867	296
149	873	291
150	878	285
151	884	279
152	890	273
153	896	267
154	901	261
155	907	255
156	913	250
157	919	244
158	924	238
159	930	232
160	935	226
161	942	220
162	948	215
163	953	209
164	959	203
165	965	197
166	970	191
167	976	185
168	982	180
169	987	174
170	993	168
171	999	162
172	1004	156
173	1010	151
174	1016	145
175	1022	139
176	1028	133
177	1033	127
178	1039	121
179	1045	116
180	1051	110
181	1057	104
182	1062	98
183	1068	92
184	1073	87
185	1079	81
186	1085	75
187	1091	69
188	1096	63
189	1102	58
190	1108	52
191	1114	46
192	1120	40
193	1125	34
194	1131	29
195	1137	23
196	1143	17
197	1149	11
198	1154	5
199	1160	0
